ko,zh,romanization,type,note,tags,hanja
シ,shi ·片假名,shi,word,"シ･シ･シ！洗･洗･洗，洗先走了還是シ！
字源來自漢字「之」，也像漢字「洗」的三點水，三筆寫完，發音 shi。","清音,片假名,サ行,シ",
シール,貼紙,shi i ru,word,,"清音,サ行,シ,物品",
シルバー,銀色,shi ru ba a,word,,"清音,サ行,シ,顏色",
シーソー,蹺蹺板,shi i so u,word,,"清音,サ行,シ,物品",
シートベルト,安全帶,shi i to be ru to,word,,"清音,サ行,シ,物品",
シングルベッド,單人床,shi n gu ru be d do,word,,"清音,サ行,シ,物品",
シーツを換えてください。,請換一下床單。,shi i tsu wo ka e te ku da sa i,sentence,對話 A｜請人換床單｜,"清音,サ行,シ,會話",シーツを換[か]えてください。
分かりました。,知道了。,wa ka ri ma shi ta,sentence,對話 B｜請人換床單｜,"清音,サ行,シ,會話",分[わ]かりました。
