ko,zh,romanization,type,note,tags,hanja
チ,chi ·片假名,chi,word,"チ･チ･チ！千･千･千，我有七千元！七千！七千！七千！
字源來自漢字「千」，三筆寫完，發音 chi。","清音,片假名,タ行,チ",
チーター,豹,chi i ta a,word,,"清音,タ行,チ,動物",
チーズ,起司,chi i zu,word,,"清音,タ行,チ,食物",
チキン,雞肉,chi ki n,word,,"清音,タ行,チ,食物",
チーム,隊伍,chi i mu,word,,"清音,タ行,チ,運動",
チケット,票,chi ke t to,word,,"清音,タ行,チ,物品",
チケットを2枚ください。,請給我兩張票。,chi ke tto o ni ma i ku da sa i,sentence,對話 A｜買票｜,"清音,タ行,チ,會話",チケットを2[に]枚[まい]ください。
はい。2000円です。,好的，總共兩千日圓。,ha i. ni se n e n de su,sentence,對話 B｜買票｜,"清音,タ行,チ,會話",はい。2000[にせん]円[えん]です。
