ko,zh,romanization,type,note,tags,hanja
エ,e ·片假名,e,word,"エ･エ･エ！江･江･江！長江沒有水，只剩被A走的工具！
字源來自漢字「江」，去掉水字旁，剩下「工」，發音 e。","清音,片假名,ア行,エ",
エンジン,引擎,e n ji n,word,,"清音,ア行,エ,物品",
エコ,環保,e ko,word,,"清音,ア行,エ,生活",
エアメール,航空郵件,e a me e ru,word,,"清音,ア行,エ,溝通",
エラー,錯誤,e ra a,word,,"清音,ア行,エ,生活",
エアコン,空調,e a ko n,word,,"清音,ア行,エ,物品",
レストランは10階です。,餐廳在十樓。,re su to ra n wa ju kka i de su,sentence,對話 A｜搭電梯｜,"清音,ア行,エ,會話",レストランは10階[じゅっかい]です。
エレベーターで行きましょう。,搭電梯去吧。,e re be e ta a de i ki ma sho u,sentence,對話 B｜搭電梯｜〜で＝用什麼方式。搭電梯、坐車、用筷子都是 で。,"清音,ア行,エ,會話",エレベーターで行[い]きましょう。
