ko,zh,romanization,type,note,tags,hanja
め,眼睛（假名 me）,me,word,"め･め･め！女･女･女，可愛女孩叫妹妹！
字源來自漢字「女」，外形很像草書的「女」。熟記口訣，可以同時記住字形、發音 me 與字源。","清音,平假名,ま行,め,身體",
めだか,青鱂魚,me da ka,word,,"清音,ま行,め,動物",
めじろ,綠繡眼,me ji ro,word,,"清音,ま行,め,動物",
めん,麵,me n,word,,"清音,ま行,め,食物",
めがね,眼鏡,me ga ne,word,,"清音,ま行,め,物品",
田中さん、今日は休みです。,田中先生今天請假。,"ta na ka sa n, kyo u wa ya su mi de su",sentence,對話 A｜談同事請假｜,"清音,ま行,め,會話",田中[たなか]さん、今日[きょう]は休[やす]みです。
めずらしいね。いつも元気なのに。,真難得耶，平常明明都很有精神的樣子。,me zu ra shi i ne. i tsu mo ge n ki na no ni,sentence,對話 B｜談同事請假｜,"清音,ま行,め,會話",めずらしいね。いつも元気[げんき]なのに。
