ko,zh,romanization,type,note,tags,hanja,pos
ル,ru ·片假名,ru,word,"ル･ル･ル！流･流･流，流水咕嚕嚕！
字源來自漢字「流」，兩筆寫完，發音 ru，長得像流水的樣子。","清音,片假名,ラ行,ル",,
ルーム,房間 ·外來語,ru u mu,word,,"清音,ラ行,ル,場所",,名詞
ルビー,紅寶石,ru bi i,word,,"清音,ラ行,ル,物品",,名詞
ルネサンス,文藝復興,ru ne sa n su,word,,"清音,ラ行,ル,文化",,固有名詞
ルージュ,口紅,ru u ju,word,,"清音,ラ行,ル,物品",,名詞
ルーペ,放大鏡,ru u pe,word,,"清音,ラ行,ル,物品",,名詞
ルンバが踊れますか。,你會跳倫巴嗎？,ru n ba ga o do re ma su ka,sentence,對話 A｜問會不會跳舞｜〜れます＝「會、能夠」。踊る→踊れる（會跳）。,"清音,ラ行,ル,會話",ルンバが踊[おど]れますか。,
いいえ、踊れません。,我不會。,"i i e, o do re ma se n",sentence,對話 B｜問會不會跳舞｜,"清音,ラ行,ル,會話",いいえ、踊[おど]れません。,
