ko,zh,romanization,type,note,tags,hanja,pos
し,shi ·平假名,shi,word,"し･し･し！吸管倒著吸，吸管倒著吸！
把吸管倒著放，看起來就像「し」，可結合圖像記憶法加強記憶。字源為漢字「之」。","清音,平假名,さ行,し",,
しろ,城堡,shi ro,word,,"清音,さ行,し,場所",,名詞
しお,鹽巴,shi o,word,,"清音,さ行,し,食物",,名詞
しま,島,shi ma,word,,"清音,さ行,し,自然",,名詞
しき,四季,shi ki,word,,"清音,さ行,し,季節",,名詞
しか,鹿,shi ka,word,,"清音,さ行,し,動物",,名詞
知っていますか？,你知道嗎？,shi tte i ma su ka,sentence,對話 A｜問對方知不知道｜,"清音,さ行,し,會話",知[し]っていますか？,
いいえ、知りません。,不，我不知道。,"i i e, shi ri ma se n",sentence,對話 B｜問對方知不知道｜〜ません＝ます 的否定。知ります→知りません。,"清音,さ行,し,會話",いいえ、知[し]りません。,
