ko,zh,romanization,type,note,tags,hanja
や,ya ·平假名,ya,word,"や･や･や！也･也･也，我也想去看鴨鴨。
字源來自漢字「也」，外形長得很像「也」。熟記口訣，可以同時記住字形、發音 ya 與字源。","清音,平假名,や行,や",
やたい,路邊攤,ya ta i,word,,"清音,や行,や,場所",
やね,屋頂,ya ne,word,,"清音,や行,や,物品",
やぎ,山羊,ya gi,word,,"清音,や行,や,動物",
やすみ,休假,ya su mi,word,,"清音,や行,や,時間",
やかん,水壺,ya ka n,word,,"清音,や行,や,物品",
約束だよ。,我們約定好囉！,ya ku so ku da yo,sentence,對話 A｜打勾勾約定｜だ 是 です 的隨性說法，よ 加強語氣。對朋友說話的樣子。,"清音,や行,や,會話",約束[やくそく]だよ。
指切りしよう。,打勾勾喔！,yu bi ki ri shi yo u,sentence,對話 B｜打勾勾約定｜,"清音,や行,や,會話",指切[ゆびき]りしよう。
