ko,zh,romanization,type,note,tags,hanja
と,to ·平假名,to,word,"と･と･と！阻止你去上面偷東西！
字源來自漢字「止」，字形長得很像「上」。","清音,平假名,た行,と",
とけい,時鐘,to ke i,word,,"清音,た行,と,物品",
とびら,門,to bi ra,word,,"清音,た行,と,物品",
とき,時候,to ki,word,,"清音,た行,と,時間",
となり,隔壁,to na ri,word,,"清音,た行,と,方位",
とり,小鳥,to ri,word,,"清音,た行,と,動物",
写真を撮ってもらえませんか。,可以幫我拍照嗎？,sha shi n wo to tte mo ra e ma se n ka,sentence,對話 A｜請人幫忙拍照｜〜てもらえませんか＝更客氣的請求，對陌生人用這個。,"清音,た行,と,會話",写真[しゃしん]を撮[と]ってもらえませんか。
いいですよ。,好啊。,i i de su yo,sentence,對話 B｜請人幫忙拍照｜よ＝告知對方新資訊。ね 是「你也知道吧」，よ 是「跟你說」。,"清音,た行,と,會話",
