ko,zh,romanization,type,note,tags,hanja,pos
ヒ,hi ·片假名,hi,word,"ヒ･ヒ･ヒ！比･比･比，HEBE拿著匕首來比武。
字源來自漢字「比」，兩筆寫完，發音 hi，樣子像匕首。","清音,片假名,ハ行,ヒ",,
ヒッチハイク,搭便車,hi c chi ha i ku,word,,"清音,ハ行,ヒ,生活",,名詞
ヒーロー,英雄,hi i ro o,word,,"清音,ハ行,ヒ,人物",,名詞
ヒアリング,聽力,hi a ri n gu,word,,"清音,ハ行,ヒ,學習",,名詞
ヒット,命中、熱門,hi t to,word,,"清音,ハ行,ヒ,生活",,名詞
ヒーター,暖氣,hi i ta a,word,,"清音,ハ行,ヒ,物品",,名詞
ダンスが好きですか。,你喜歡跳舞嗎？,da n su ga su ki de su ka,sentence,對話 A｜聊跳舞｜,"清音,ハ行,ヒ,會話",ダンスが好[す]きですか。,
はい、ヒップホップが好きです。,是啊，喜歡嘻哈舞。,"ha i, hi p pu ho p pu ga su ki de su",sentence,對話 B｜聊跳舞｜,"清音,ハ行,ヒ,會話",はい、ヒップホップが好[す]きです。,
